Date,selic,ipca_exp_12m,ipca_12m,juros_real_ex_ante,juros_real_ex_post,selic_std,ipca_exp_12m_std,ipca_12m_std,juros_real_ex_ante_std,juros_real_ex_post_std
2016-01-01,14.25,7.054285714285714,10.71,6.721556486695657,3.197543130701841,1.1876266432313134,2.4620175628525343,2.0436249909885222,0.5744108379087116,-0.8551203144918454
2016-02-01,14.25,6.9719827586206895,10.36,6.803666767402028,3.5248278361725394,1.1876266432313134,2.3751546468218927,1.911473721363398,0.6080990219641625,-0.6762074888019267
2016-03-01,14.25,6.657903225806452,9.39,7.118175535590865,4.4428192705000535,1.1876266432313134,2.0436736706486416,1.5452259169737697,0.7371355954437679,-0.17438006231565797
2016-04-01,14.25,6.327166666666667,9.28,7.4513725717635815,4.547950219619334,1.1876266432313134,1.6946127926681573,1.5036926608058732,0.8738395865244639,-0.1169093804903577
2016-05-01,14.25,6.081854838709678,9.32,7.699851377702083,4.509696304427391,1.1876266432313134,1.4357095668851456,1.5187956630487447,0.9757854047134082,-0.13782119196914341
2016-06-01,14.25,5.999916666666667,8.84,7.783103603068886,4.9705990444689485,1.1876266432313134,1.3492316451584427,1.337559636134289,1.0099421055193907,0.11413501072131157
2016-07-01,14.25,5.7575,8.74,8.03016334538922,5.067132609895175,1.1876266432313134,1.0933839858496173,1.2998021305271108,1.1113057106657784,0.16690586336317184
2016-08-01,14.25,5.473467741935484,8.97,8.321080595869157,4.845370285399642,1.1876266432313134,0.7936150409448105,1.386644393423621,1.2306631625556415,0.04567769888173452
2016-09-01,14.25,5.231166666666667,8.48,8.570496383359183,5.3189528023599,1.1876266432313134,0.537889377326226,1.2016326159484476,1.3329934052854933,0.3045654039605454
2016-10-01,14.153225806451612,5.015806451612904,7.87,8.700994320363463,5.824813021647923,1.1584553299070803,0.3105972208611153,0.9713118317446602,1.3865340640536434,0.5810979755232121
2016-11-01,14.0,4.890083333333334,6.99,8.6852030021904,6.5520142069352305,1.112267417143712,0.1779084665145991,0.6390457824014917,1.380055206247826,0.9786283725446475
2016-12-01,13.75,4.775161290322581,6.29,8.565807581826522,7.018534198889825,1.0369081910561107,0.056619216432965254,0.3747432431512439,1.3310696850439732,1.2336552913289944
2017-01-01,13.266129032258064,4.747338709677419,5.35,8.132703348379767,7.514123428816366,0.8910516244349463,0.027255137502766525,0.01982269044376832,1.153375795727904,1.504573143662264
2017-02-01,12.839285714285714,4.603303571428571,4.76,7.873539230272186,7.712185676103189,0.7623852960227052,-0.12476020651589706,-0.20294659263858325,1.0470460105138175,1.6128454696593415
2017-03-01,12.25,4.511209677419354,4.57,7.40474667403328,7.344362627904744,0.5847528345305021,-0.2219565236787423,-0.2746858532922217,0.8547099256467227,1.4117720317410674
2017-04-01,11.65,4.5032499999999995,4.08,6.838782525902309,7.273251345119158,0.4038906919202587,-0.2303572036509469,-0.45969763076739517,0.6225063059903205,1.372898475082481
2017-05-01,11.25,4.596370967741936,3.6,6.36124271874603,7.384169884169878,0.2833159301800963,-0.13207690817065648,-0.6409336576818507,0.4265814013512232,1.433532989654194
2017-06-01,10.25,4.347916666666666,3.0,5.656158284584811,7.038834951456319,-0.018120974170309355,-0.3942967144627897,-0.8674786913249202,0.13729954786934218,1.2447528615624692
2017-07-01,10.088709677419354,4.379677419354839,2.71,5.469486397364465,7.184022663245404,-0.0667398297106976,-0.3607762707371571,-0.9769754575857371,0.060711855797678654,1.3241208959907216
2017-08-01,9.25,4.450725806451612,2.46,4.594773426889831,6.626976381026739,-0.31955787852071504,-0.2857914778748255,-1.0713692216036828,-0.29816514829412677,1.0196070500153311
2017-09-01,8.483333333333333,4.039,2.54,4.271795512580234,5.796112086340277,-0.5506595051893597,-0.7203287780784026,-1.0411632171179401,-0.43067644078399764,0.5654083775982206
2017-10-01,8.10483870967742,4.04733870967742,2.7,3.8996672575370983,5.262744605333425,-0.6647517528574698,-0.7115280657265683,-0.9807512081464549,-0.5833531219532804,0.2738387394117718
2017-11-01,7.5,4.069916666666667,2.8,3.29594127025179,4.571984435797649,-0.847072461133925,-0.6876991866024397,-0.9429937025392767,-0.8310496589004276,-0.10377088224150012
2017-12-01,7.096774193548387,3.8787096774193546,2.95,3.0979057461555826,4.027949678046028,-0.9686195999848951,-0.889499918025249,-0.8863574441285093,-0.9122996208769071,-0.40117187335376986
2018-01-01,7.0,3.9492741935483875,2.86,2.934821652310271,4.024888197550069,-0.9977909133091278,-0.8150258047964847,-0.9203391991749698,-0.9792097193775323,-0.4028454563754351
2018-02-01,6.8125,3.990625,2.84,2.7135859602728463,3.862796577207317,-1.054310332874829,-0.7713839744444294,-0.9278907002964054,-1.069978240065509,-0.4914541488423544
2018-03-01,6.669354838709677,3.9283870967741934,2.68,2.637361955192463,3.8852306570994255,-1.0974595671669234,-0.8370701423121992,-0.9883027092678905,-1.101251404527999,-0.4791903780087067
2018-04-01,6.5,4.031666666666667,2.76,2.3726749867828634,3.639548462436726,-1.1485093654843308,-0.7280684116360423,-0.958096704782148,-1.2098471032901157,-0.6134945325691452
2018-05-01,6.5,4.243064516129032,2.86,2.1650701601560796,3.538790589150298,-1.1485093654843308,-0.5049581539480437,-0.9203391991749698,-1.2950231561550816,-0.6685746371962632
2018-06-01,6.5,4.478083333333333,4.39,1.9352543635547281,2.021266404828048,-1.1485093654843308,-0.25691821881466786,-0.3426493633851428,-1.389311919853775,-1.4981414801668413
2018-07-01,6.5,3.868951612903226,4.48,2.533046060676658,1.9333843797856076,-1.1485093654843308,-0.8997986239688833,-0.30866760833868206,-1.1440501018911755,-1.546182898433186
